412974302.425802,88
412974303.416698,87
412974304.436384,87
412974305.426392,87
412974306.415768,87
412974308.218613,86
412974309.210270,85
412974310.198997,85
412974311.188483,86
412974314.160583,87
412974314.163036,87
412974315.150223,87
412974316.140394,86
412974317.130598,85
412974318.121643,83
412974319.110458,82
412974320.100263,82
412974321.090200,82
412974322.080549,82
412974323.068913,81
412974324.060479,81
412974325.049552,81
412974326.041214,81
412974327.030717,81
412974328.020569,81
412974329.010581,80
412974330.000138,80
412974330.990800,80
412974331.980751,81
412974332.970676,81
412974333.961745,81
412974334.950549,81
412974336.930986,82
412974337.920858,84
412974338.910857,88
412974339.900362,88
412974340.891129,93
412974341.881015,96
412974342.870932,98
412974343.860916,98
412974344.850495,98
412974345.841356,98
412974346.831078,98
412974347.821295,98
412974348.810580,98
412974349.800753,98
412974350.791374,98
412974351.781229,98
412974352.771144,99
412974353.761145,100
412974354.750916,100
412974355.739372,100
412974357.721438,99
412974357.726273,98
412974358.711890,96
412974361.681705,89
412974361.685844,81
412974363.660951,79
412974363.667897,81
412974405.245082,81
412974406.233211,71
412974407.223264,72
412974408.213666,73
412974409.203276,79
412974410.193556,78
412974411.183977,77
412974412.173484,76
412974413.163491,76
412974414.153508,79
412974415.144087,80
412974416.133493,82
412974417.123290,83
412974418.113870,83
412974419.103887,83
412974420.093839,84
412974421.083674,83
412974423.065097,83
412974423.069126,83
412974424.053753,85
412974425.044140,86
412974426.033996,86
412974427.024046,87
412974428.013950,87
412974429.004342,87
412974429.993996,83
412974430.983998,83
412974431.974261,83
412974432.963917,83
412974433.954211,83
412974434.944073,84
412974435.934128,84
412974436.924345,84
412974437.914831,84
412974438.904202,83
412974440.884322,83
412974440.887888,82
412974441.874326,82
412974442.864262,82
412974443.854233,82
